Sector,#,Name,Lat-Long,2023,2022,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,,,,,,,,,,,,,
Northeast,30,NE Irving & 12th,"45.52791079015306, -122.65359293192836",555,840,"1,585","1,630","1,735","1,905","1,820","1,705","1,665","1,865","1,670","1,710","1,635","1,655","1,360",850, - , - ,400, - ,540,475,,,,,,,,,,,,,
Northeast,31,NE Irving & 20th,"45.52788932256012, -122.64548973192835",540,625,"1,115","1,000","1,035","1,100","1,265","1,235","1,165","1,320","1,335","1,100","1,040", - ,"1,010",890, - , - , - , - , - ,275,,,,,,,,,,,,,
Northeast,32,NE Multnomah & 7th,"45.53145776105931, -122.65863463192818","1,330",790,"1,805","1,655","1,670","1,690","1,685","1,320","1,325","1,150","1,005",290,"1,180","1,275", - ,860, - , - ,745, - ,380,465,,,,,,,,,,,,,
Northeast,33,NE Portland & Killingsworth,"45.56286809044933, -122.59097247425593", - , - , - , - ,90,85,100,200,130,200, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Northeast,34,NE Skidmore & 29th,"45.554320758518784, -122.63592083192718", - , - , - ,245,260,235,290,250,265,325, - , - , - , - ,240, - , - , - , - , - , - , - ,,,,,,,,,,,,,
Northeast,35,NE US Grant & 33rd,"45.53777014141332, -122.63068040309261",735,830,"1,250",985,"1,485","1,395","1,355","1,135","1,205","1,175","1,115","1,095",750,"1,165",680, - , - , - , - , - , - , - ,,,,,,,,,,,,,
Northeast,36,NE Weidler & 7th,"45.53430003263997, -122.65861323987968","1,120",885,"1,400","1,565","1,610","1,640","1,550", - ,"1,480","1,715", - ,850, - , - ,"1,330","1,205", - ,655, - , - ,700,725,,,,,,,,,,,,,
Northeast,37,NE Weidler & MLK,"45.534303863721846, -122.66165717425731",260, - ,475, - ,550,595,635, - ,620,515,540,500,850,"1,025",655,505, - , - , - , - ,740, - ,,,,,,,,,,,,,
Northwest,38,NW Thurman & 14th,"45.535780289029546, -122.6862568846653",305,275,490, - ,560,350,495,510,435,430,365,415,485,565,415, - , - , - , - , - , - , - ,,,,,,,,,,,,,
Northwest,39,NW Bridge Ave & St. Johns Bridge,"45.58300131813678, -122.76874567425521",225,160,50,200,140, - ,130, - ,195,180,185, - ,235, - ,110, - , - , - , - , - , - , - ,,,,,,,,,,,,,
Northwest,40,NW Couch & 15th,"45.52355815440671, -122.68671507425793", - ,25,160,740,235,275,280,240,215,255,230,195,215,200,185,120, - , - , - , - , - ,70,,,,,,,,,,,,,
Northwest,41,NW Glisan & 16th,"45.526427807150114, -122.68736875096458", - ,110,300, - ,330,360,305,300,465,490,340,500,330,440,335,215, - ,375, - , - , - ,230,,,,,,,,,,,,,
Northwest,42,NW Johnson & 16th,"45.52855283894971, -122.68739930309297",445,370,845,950,925,940,"1,015","1,100",920,835,880,720,785, - ,660,650, - , - , - ,445,370,300,,,,,,,,,,,,,
Northwest,43,NW Johnson & 19th,"45.52849872280444, -122.69045940309303",385,365,790,765,760,710,675,510,540,815,"1,000",445,415,525,635, - , - , - ,200, - ,255, - ,,,,,,,,,,,,,
Northwest,44,NW Thompson & Skyline,"45.54325710040789, -122.76090713192762",75, - , - ,105,125,105,130, - , - ,130, - , - , - ,215, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Northwest,45,NW Wardway & Nicolai,"45.53847792680529, -122.71115726076312", - ,165,165,210,240,300,255,230,220,325, - , - ,290,305, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
East,46,SE Springwater Trail and 122nd,"45.48040158097682, -122.53734620309508",520, - ,490,525,600,660,640,625,695,690,815, - ,525,425,405, - , - , - , - , - , - , - ,,,,,,,,,,,,,
East,47,SE Powell & 148th,"45.49804953079927, -122.51062980309429",55,40,75,45,160,115, - ,160,135, - , - ,160,190,205,180, - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southeast,48,SE Gladstone & 26th,"45.49334722132406, -122.63961861261264",305,575, - , - ,"1,145","1,080",825,925,935,825,735,650,765,645,565,420, - , - , - , - , - , - ,,,,,,,,,,,,,
Southeast,49,SE Salmon & 7th,"45.514376271199374, -122.65871300309354","1,260",885,"1,955","1,875","2,040","1,970","2,195","1,950","1,885","1,675","1,795","1,335","1,760","1,885","1,420","1,010", - , - , - , - ,470, - ,,,,,,,,,,,,,
Southeast,50,SE Ankeny & 6th,"45.522207054226136, -122.65972676076399",350, - ,"1,240","1,075","1,095","1,130","1,285","1,125",980,920,990,"1,265","1,455", - ,970,855, - ,680, - , - , - ,725,,,,,,,,,,,,,
Southeast,51,SE Belmont & 16th,"45.516453600237114, -122.64960353192892",650,680,900,720,815,845,845,790,670,830,810,720,610,730,455,425, - , - ,375, - ,240, - ,,,,,,,,,,,,,
Southeast,52,SE Milwaukie & Bybee,"45.47370310084776, -122.64876393193072", - ,330,380,360,320,370,325,460,470,505,315,455,375,535,405, - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southeast,53,SE Center & 72nd,"45.493826529671296, -122.58915873192991",355,230, - , - ,345,380, - ,345,270,215,485,220,350,310,330, - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southeast,54,SE Center & 9th,"45.49399498823759, -122.65638693193002",50,30, - ,100,70,100,100,175,180,165, - ,115, - ,95,50, - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southeast,55,SE Clinton & 26th,"45.50348376343946, -122.63964864542348","2,625","2,175","3,240","3,460","3,795","3,385","3,260","3,205","3,095","3,180","2,655","2,750","2,345","2,710","1,770","1,100","1,225","1,235","1,040", - ,595,650,,,,,,,,,,,,,
Southeast,56,Eastbank Esplanade at Salmon Street,"45.51441727119944, -122.66804860309365","1,940", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southeast,57,SE Flavel & 92nd,"45.468409422883816, -122.56859603193112", - , - , - ,325,500,645, - ,670,830,735,730,630,385,410,265,555, - , - , - , - , - , - ,,,,,,,,,,,,,
East,58,SE Flavel & Deardorf,"45.46904812305416, -122.52421747426031", - , - , - , - , - ,5, - , - ,30, - , - , - ,40,20, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southeast,59,SE Gladstone & 42nd,"45.49332617119912, -122.61896076076519",570,530,675,745,745,740,785,990,710,690,725,895,905,715,490,430, - , - ,615, - , - ,170,,,,,,,,,,,,,
East,60,SE Springwater Trail & I-205 path,"45.472264200271454, -122.56621140309552", - , - ,645,730,940,940,990,"1,380",990,"1,375","1,205",965, - ,375,490,115, - , - ,"2,210", - , - , - ,,,,,,,,,,,,,
Southeast,61,SE Harrison & Ladd  (Circle),"45.508510339597784, -122.64941923192919","2,375","1,830", - ,"3,075","3,175","3,360","3,590","3,810","4,255","3,455","3,600","3,935","3,955","3,975","1,755","1,850","1,855", - , - , - ,900, - ,,,,,,,,,,,,,
Southeast,62,SE Lincoln & 41st,"45.50802035800225, -122.62041013192913","1,160","1,330","1,785","1,820","1,865","2,120","2,140","1,875","1,710","2,030","1,880","1,785","1,295","1,925","1,025","1,015", - , - ,725, - ,575, - ,,,,,,,,,,,,,
East,63,SE Mill & 135th Ave,"45.5101591782945, -122.52477740309372",90,90,130,140,130,125,115,130,145,230,270, - ,195,130, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southeast,64,SE Milwaukie & Powell,"45.50107385243503, -122.65424247425885",290, - ,325,235,420,390,335,615,515, - , - ,600,780,740,500, - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southeast,65,SE Spokane & Springwater Corridor,"45.46508383421961, -122.661832405236","1,900","1,860", - ,"2,110","2,710","2,610","2,565","2,515","2,685","2,915","2,000","2,080","1,050","2,295","1,885","1,410", - , - , - , - , - , - ,,,,,,,,,,,,,
Southeast,66,SE Taylor & 41st Ave,"45.51498239945093, -122.62019273192902",850,720,895,825,880,"1,145","1,080",910,"1,365","1,205","1,205","1,185","1,245",950,955,700, - , - ,490, - ,325, - ,,,,,,,,,,,,,
Southeast,67,SE Woodstock & 46th,"45.47915538031125, -122.61547163193067",350, - ,405,460,635,580,440,565,730,450, - ,600,580,660,635, - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southeast,68,SE Woodward & 71st,"45.50141601194977, -122.58986380309418",330,440,585,550,545,470,735,345,390,450,590,755,550,490, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southeast,69,SE Springwater Trail and Johnson Creek Blvd,"45.45593949373432, -122.59281964542556",590,815,825,665,945,"1,075","1,275","1,255","1,125","1,010","1,175",730,775,775,"1,020", - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southeast,70,SE Springwater Trail and Oaks Bottom Connector,"45.480797781188414, -122.65471827425986","1,705","1,970","2,135","2,320","2,890","3,035","2,800","2,890","2,860","2,885","2,950","2,745","2,770","2,490","2,500", - , - , - , - , - , - , - ,,,,,,,,,,,,,
City Center,71,SW Taylor & 13th,"45.51946961918505, -122.68583691658735",55,115, - ,265,240,300,310,300,285,275, - ,175,305,360,370,180, - ,220, - , - , - ,250,,,,,,,,,,,,,
City Center,72,SW Salmon & 14th,"45.5191125711996, -122.68729738959948", - ,360,600,460,465,555,545,525,615,635,530,665,520,540,430,370, - , - , - , - , - ,210,,,,,,,,,,,,,
City Center,73,SW Jackson & 6th,"45.50904455882318, -122.68404137425847",165,190,305, - ,325,400,520,340,425,485,385,360,360,435,260,595, - , - , - , - , - , - ,,,,,,,,,,,,,
Southwest,74,SW Terwilliger & Sheridan,"45.50518007496888, -122.68429110309388",200,290,480, - ,475,715,565,805,810,690,710,720,755,645,585,"1,050", - , - , - ,825, - ,560,,,,,,,,,,,,,
Southwest,75,SW Arnold & 35th,"45.44469268923167, -122.71281701659079",60,10,45,10,25, - ,35, - ,20,35,50,20,15,40, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southwest,77,SW Barbur & Hamilton,"45.49100882323532, -122.67797454542401",215,230,670,490,525,710,715,815,765,630,735,750,705,990,525,460, - , - , - , - ,310, - ,,,,,,,,,,,,,
Southwest,78,SW Beaverton Hillsdale Hwy & Shattuck ,"45.4870053628325, -122.73160241658888",70,60,150,100,140,200, - ,225,165,195,235,305,230,270,165, - , - , - , - , - , - , - ,,,,,,,,,,,,,
City Center,79,SW Broadway & Jackson,"45.509330015121186, -122.68500750309389",210,240,390,630,465,495,600,545,710,415,960,680, - , - ,565,515, - , - , - , - , - ,345,,,,,,,,,,,,,
Southwest,80,SW Canyon Ct & Skyline,,325,460,645,530,555,495,605,675,730,690,660,540,455,580,385,280, - , - , - , - , - , - ,,,,,,,,,,,,,
Southwest,81,SW Capitol & Sunset,"45.47871408403562, -122.6934129623325",500,350,270,430,585,510,645,780,505,520,680,625,615,655,585,400, - , - ,370, - , - ,330,,,,,,,,,,,,,
Southwest,82,SW Capitol Hwy & Vermont St,"45.47614105557951, -122.70234113008328",175,175, - ,375,265,250,350,380,305,510,330,345,295,335,225,225, - , - , - , - , - ,245,,,,,,,,,,,,,
City Center,83,Waterfront Park & S Harbor Way,"45.511732377752516, -122.67455888662846","1,080","1,020", - ,"2,030","2,225","2,140","3,160","2,900","2,675","2,385","2,205","2,210", - ,"1,960","1,450",955,"1,020", - , - , - ,815, - ,,,,,,,,,,,,,
City Center,84,SW Jefferson & 13th,"45.516796347346435, -122.68715410309356",305,385,555,565,640,675,660,610,620,635,825,650,770,495,590,385, - , - , - , - , - ,335,,,,,,,,,,,,,
Southwest,85,SW Kingston & Rose Garden,"45.51810054856605, -122.70665787425808",270,210, - ,335,355, - ,360,380,245, - ,360, - , - ,380,195, - , - , - , - , - , - , - ,,,,,,,,,,,,,
South,86,S Miles St & Miles Pl (Willamette Greenway),"45.47126939987302, -122.67005742510325",660,500,675,"1,095",630,415,235,265,225,310,360,370,275,225,225, - , - , - , - , - , - , - ,,,,,,,,,,,,,
South,87,S Moody & Gibbs,"45.499349870955726, -122.67182600277451","2,455", - ,"3,015","3,415","3,510","3,800","2,420","2,575","2,510","1,890","1,755","1,740","1,425","1,585","1,225",580, - , - , - , - , - , - ,,,,,,,,,,,,,
Southwest,88,SW Multnomah & 45th,"45.46746677695618, -122.72401500309574",170,210,225,270,345,430,490,315,320,405,350,365,325, - ,240,295, - , - , - , - , - ,160,,,,,,,,,,,,,
City Center,89,SW Moody & River Prkwy,"45.506869795116, -122.67344570309396",380,235,275,355,400,445,610,"2,255","2,230","2,005","1,860","1,655","1,290","1,700", - ,720, - , - , - ,955, - , - ,,,,,,,,,,,,,
Southwest,90,SW Terwilliger & 2nd,"45.45368324448029, -122.68198883249377",130, - , - ,180,165, - ,230,355,170,300,330,285,260,370, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southwest,91,SW Terwilliger & Campus Dr,"45.499155730851456, -122.68257373192965",400,510,545,740,685,715,"1,005",885,985,"1,005","1,180","1,145",945,945,950,930,725, - , - , - , - , - ,,,,,,,,,,,,,
Southwest,92,SW Capitol Hwy & Terwilliger,"45.48016700343672, -122.68698277425983",515,460,595,655,520,685,795,670,795,810,795,825,750,515,565, - , - , - , - , - , - , - ,,,,,,,,,,,,,
City Center,93,Waterfront Park & SW Ankeny,"45.52243751716612, -122.66943145812971","1,110","1,230", - , - ,"2,500","3,280","3,590","3,890","3,995","3,445","2,985","3,365","2,510","3,170","2,200","2,100", - , - , - , - ,875, - ,,,,,,,,,,,,,
City Center,94,Waterfront Park & Morrison Bridge,"45.5180918905198, -122.67129770157709","1,005",845,"1,595","1,585","2,390","2,850","3,700","4,075","3,610","3,035","3,460","3,835","3,390","2,995","2,630","2,200", - , - , - ,"1,490",715, - ,,,,,,,,,,,,,
Northeast,95,NE Couch & 41st,"45.524236104396365, -122.62044038775174","1,000",905,"1,320",920,"1,185","1,470","1,260","1,410","1,050","1,275","1,020",525, - , - ,570, - , - , - , - , - , - , - ,,,,,,,,,,,,,
Northwest,96,NW Overton & 18th,"45.532057708577106, -122.68952308775138", - ,560,"1,190","1,100","1,025",940,"1,000",975, - ,955, - ,775,695,555,375, - , - , - , - , - , - , - ,,,,,,,,,,,,,
North,97,N Interstate Ave/NE Lloyd Blvd & NE Oregon St,"45.52858772614806, -122.6657259454222","2,140", - ,"5,285","4,815","5,595","5,805","4,815","5,045","5,140","4,785","4,105","4,510", - ,"3,525", - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Northeast,98,NE Skidmore & 9th,"45.554476882596575, -122.65665380309184",220, - ,240,335, - ,415,310,325,320,365, - ,535,460,695,455, - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southeast,99,SE 72nd and Duke,"45.47586960171552, -122.58936593193066",90,75,140,140,230,175,185,310,175,260,275, - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southeast,100,SE Ankeny & 16th,"45.52217495422182, -122.64959866076401","1,645","1,565","2,400","2,070","2,430","2,505","2,400","2,730","2,555","2,250","2,815","2,780","2,410","2,605","1,705", - ,"1,075", - ,975, - ,840, - ,,,,,,,,,,,,,
Southeast,101,SE Salmon & 34th,"45.51428339907721, -122.62956233192891","1,535","1,360","1,825","1,670","1,690","1,825","1,840","1,955","1,860","2,035","2,130","2,280","2,115","2,400","1,465", - , - , - , - , - , - , - ,,,,,,,,,,,,,
North,102,N Greeley and Going,"45.55554389610698, -122.69238310493915",290, - ,290, - ,580,745,725,740,680,865,585,595, - ,520,460, - , - , - , - , - , - , - ,,,,,,,,,,,,,
North,103,N Port Center Way and Cement Road,, - , - , - , - , - , - , - , - ,15,15,45,20,35,30,45, - , - , - , - , - , - , - ,,,,,,,,,,,,,
Northwest,104,NW Naito & 9th,"45.53278097785163, -122.67973181658671","1,275","1,040","1,455","1,540","1,545","1,590","1,670","1,420","1,725","1,230","1,475","1,715",980,"1,185",770, - , - , - , - , - , - , - ,,,,,,,,,,,,,
South,105,S Bond & Curry,"45.49786406397609, -122.67082651276053",480,450,655,745,680,855,735,575,630,610,445,540,430,355,405, - , - , - , - , - , - , - ,,,,,,,,,,,,,
Northeast,106,NE Irving & 21st,"45.52788442255817, -122.64445327425757",475,355,985,740,595,585,580,575,485,510,465,455,460, - ,435, - , - , - , - , - , - , - ,,,,,,,,,,,,,
Northeast,107,NE Davis & 41st,"45.52496333799039, -122.62062224542244",595,915,"1,350","1,310","1,370","1,415","1,315","1,340","1,100","1,070", - ,950,915,875,615, - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southeast,108,SE Clay & Water,"45.51148103134693, -122.6658650334846",680,730, - ,"1,225","1,375",980,"1,585","3,305","2,915","1,895", - ,765,655,590,345, - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southeast,109,SE Clay & 7th,"45.51151505279765, -122.65874716076448",570,665, - ,975,"1,055","1,095",960,"1,105",905,"1,180","1,075","1,095",905,"1,025",670, - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southeast,110,SE Clay & 12th,"45.511496052794975, -122.65368177425842",590,615,830,"1,000",930,935,980,"1,265","1,345","1,210","1,470","1,340","1,100","1,235",965, - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southwest,111,SW Barbur Blvd & Capitol Hwy,,155,80, - ,130,160,105,130,220,90,290,290,275,150,230, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
